VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,PULocationID,DOLocationID
2,01/01/2016 01:55:04 AM,01/01/2016 02:02:59 AM,N,1,-73.878326416015625,40.880771636962891,-73.862800598144531,40.896133422851562,5,2.12,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,,
1,01/01/2016 01:37:34 AM,01/01/2016 01:52:41 AM,N,1,-73.935005187988281,40.84759521484375,-73.92626953125,40.840194702148438,4,1.1,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,,
2,01/01/2016 03:00:30 AM,01/01/2016 03:16:14 AM,N,1,-73.928558349609375,40.697822570800781,-73.952110290527344,40.713100433349609,5,2.17,11.5,0.5,0.5,2.56,0,,0.3,15.36,1,1,,
2,01/01/2016 03:55:03 AM,01/01/2016 04:02:16 AM,N,1,-73.945411682128906,40.807693481445313,-73.938186645507812,40.805614471435547,1,0.73,6,0.5,0.5,0,0,,0.3,7.3,2,1,,
2,01/01/2016 05:18:11 PM,01/01/2016 05:42:55 PM,N,1,-73.956413269042969,40.747268676757813,-73.782554626464844,40.644100189208984,1,15.43,41.5,0,0.5,0,0,,0.3,42.3,2,1,,
2,01/01/2016 07:34:34 PM,01/01/2016 07:37:13 PM,N,1,-73.944419860839844,40.791763305664062,-73.932174682617187,40.8004150390625,1,1.06,5,0,0.5,0,0,,0.3,5.8,2,1,,
2,01/01/2016 08:20:46 PM,01/01/2016 08:30:07 PM,N,1,-73.943328857421875,40.825973510742188,-73.922096252441406,40.810100555419922,1,2.47,10,0.5,0.5,0,0,,0.3,11.3,2,1,,
1,01/01/2016 09:04:35 PM,01/01/2016 09:13:02 PM,N,1,-73.99615478515625,40.69073486328125,-73.974365234375,40.687400817871094,1,1.3,7.5,0.5,0.5,1.75,0,,0.3,10.55,1,1,,
2,01/01/2016 11:54:46 PM,01/02/2016 12:10:57 AM,N,1,-73.943443298339844,40.746665954589844,-73.845611572265625,40.735462188720703,1,6.34,20.5,0.5,0.5,5,0,,0.3,26.8,1,1,,
2,01/02/2016 02:59:34 AM,01/02/2016 03:03:06 AM,N,1,-73.871849060058594,40.674964904785156,-73.861442565917969,40.671531677246094,1,0.79,4.5,0.5,0.5,0,0,,0.3,5.8,1,1,,
2,01/02/2016 03:17:38 PM,01/02/2016 03:53:20 PM,N,1,-73.959220886230469,40.658180236816406,-73.994171142578125,40.752498626708984,2,9.86,33,0,0.5,5,5.54,,0.3,44.34,1,1,,
2,01/02/2016 03:50:51 PM,01/02/2016 03:55:22 PM,N,1,-73.957267761230469,40.672653198242187,-73.967926025390625,40.673126220703125,1,0.68,5,0,0.5,1.16,0,,0.3,6.96,1,1,,
2,01/03/2016 01:00:17 AM,01/03/2016 01:09:18 AM,N,1,-73.957893371582031,40.710895538330078,-73.998245239257813,40.720123291015625,1,2.76,10.5,0.5,0.5,2.36,0,,0.3,14.16,1,1,,
2,01/03/2016 03:06:06 AM,01/03/2016 03:14:17 AM,N,1,-73.890220642089844,40.746990203857422,-73.866264343261719,40.755722045898437,2,1.76,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,,
2,01/03/2016 09:51:45 AM,01/03/2016 09:57:15 AM,N,1,-73.936408996582031,40.820270538330078,-73.952369689941406,40.810657501220703,1,1.41,6.5,0,0.5,0,0,,0.3,7.3,2,1,,
2,01/03/2016 02:10:11 PM,01/03/2016 02:29:11 PM,N,1,-73.952255249023438,40.789791107177734,-73.890647888183594,40.746349334716797,2,7.1,23,0,0.5,0,5.54,,0.3,29.34,2,1,,
1,01/03/2016 02:37:43 PM,01/03/2016 02:44:29 PM,N,1,-73.952293395996094,40.792743682861328,-73.974174499511719,40.791725158691406,1,1.6,7.5,0,0.5,1,0,,0.3,9.3,1,1,,
1,01/03/2016 06:19:22 PM,01/03/2016 06:31:28 PM,N,1,-73.99481201171875,40.680263519287109,-73.992393493652344,40.696624755859375,2,1.4,9,0,0.5,2.45,0,,0.3,12.25,1,1,,
2,01/03/2016 08:14:32 PM,01/03/2016 08:22:23 PM,N,1,-73.871124267578125,40.733913421630859,-73.899162292480469,40.742866516113281,1,1.6,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,,
2,01/03/2016 09:52:32 PM,01/03/2016 09:59:37 PM,N,1,-73.970718383789063,40.687698364257813,-73.9500732421875,40.674606323242187,1,1.75,7.5,0.5,0.5,2.2,0,,0.3,11,1,1,,
2,01/03/2016 10:41:06 PM,01/03/2016 10:45:41 PM,N,1,-73.960945129394531,40.682220458984375,-73.949775695800781,40.687160491943359,1,1.05,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,,
2,01/03/2016 11:54:24 PM,01/03/2016 11:59:53 PM,N,1,-73.929389953613281,40.678981781005859,-73.928764343261719,40.665168762207031,1,1.13,6,0.5,0.5,0,0,,0.3,7.3,2,1,,
1,01/03/2016 11:53:09 PM,01/04/2016 12:05:53 AM,N,1,-73.971946716308594,40.693138122558594,-73.951545715332031,40.709400177001953,1,2.6,12,0.5,0.5,2.65,0,,0.3,15.95,1,1,,
2,01/04/2016 01:08:01 PM,01/04/2016 01:16:07 PM,N,1,-73.930099487304688,40.756214141845703,-73.93414306640625,40.744930267333984,1,1.17,7.5,0,0.5,0,0,,0.3,8.3,2,1,,
1,01/04/2016 06:41:05 PM,01/04/2016 06:44:14 PM,N,1,-73.921401977539062,40.766719818115234,-73.925498962402344,40.772125244140625,1,0.4,4,1,0.5,1.45,0,,0.3,7.25,1,1,,
